StockCode,Description,TotalRevenue,TotalQuantity
22454,MEASURING TAPE RUSSIAN DOLL RED,1755.05,647
22132,RED LOVE HEART SHAPE CUP,1754.07,2115
22642,SET OF 4 NAPKIN CHARMS STARS,1741.95,717
21465,PINK FLOWER CROCHET FOOD COVER,1732.65,503
21540,DAIRY MAID BUTTER DISH,1732,1186
15039,SANDALWOOD FAN,1729.35,2603
21421,PORCELAIN ROSE LARGE,1726.66,1478
22839,3 TIER CAKE TIN GREEN AND CREAM,1725.8,120
21688,SILVER PLATE CANDLE BOWL SMALL,1716.9,582
22691,DOORMAT WELCOME SUNRISE,1715.81,237
20871,OPULENT VELVET SET/3 CANDLES,1715.4,1203
22741,FUNKY DIVA PEN,1701.97,2017
85184C,S/4 VALENTINE DECOUPAGE HEART BOX,1700.6,596
84849D,HOT BATHS SOAP HOLDER,1698.93,1053
21039,RED SPOTTY SHOPPING BAG,1698.15,667
85217,ASSORTED ICE CREAM FRIDGE MAGNETS,1693.41,2721
22217,T-LIGHT HOLDER HANGING LACE,1688.51,1411
85216,ASSORTED CAKES FRIDGE MAGNETS,1688.48,2704
85036A,GARDENIA 1 WICK MORRIS BOXED CANDLE,1687.64,412
84912B,GREEN ROSE WASHBAG,1683.75,729
21537,RED RETROSPOT PUDDING BOWL,1683.25,401
22095,LADS ONLY TISSUE BOX,1678.5,1530
22670,FRENCH WC SIGN BLUE METAL,1678.06,1430
22227,"DECORATION, HANGING HEART+MIRROR ",1675,2588
21508,VINTAGE KID DOLLY CARD,1674.3,4163
22046,TEA PARTY  WRAPPING PAPER,1674,4100
85107,CUT GLASS T-LIGHT HOLDER OCTAGON,1673.16,954
21468,BUTTERFLY CROCHET FOOD COVER,1671.75,497
22451,SILK PURSE BABUSHKA RED,1671.1,506
21329,DINOSAURS  WRITING SET,1670.79,1035
22854,CREAM SWEETHEART EGG HOLDER,1665.3,350
21055,TOOL BOX SOFT TOY,1664.7,186
21241,GREEN SPOTTY CUP,1663.95,2031
84509A,SET OF 4 ENGLISH ROSE PLACEMATS,1659.45,463
22354,RETRO SPOT PADDED SEAT CUSHION,1657.65,467
22572,ROCKING HORSE GREEN CHRISTMAS,1655.72,2036
84968A,S/16 VINTAGE ROSE CUTLERY,1652.55,133
15044C,PURPLE PAPER PARASOL,1652,592
21327,SKULLS WRITING SET,1642.65,997
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,1641.05,1405
21747,SMALL SKULL WINDMILL,1640.77,1433
22755,SMALL PURPLE BABUSHKA NOTEBOOK,1640.72,2000
22841,ROUND CAKE TIN VINTAGE GREEN,1637.4,213
21821,GLITTER STAR GARLAND WITH BELLS,1635.9,442
21155,RED RETROSPOT PEG BAG,1635.2,847
22581,WOOD STOCKING CHRISTMAS SCANDISPOT,1630.96,1972
21687,SILVER PLATE CANDLE BOWL LARGE,1630.83,449
22066,LOVE HEART TRINKET POT,1626.95,1175
84828,JUNGLE POPSICLES ICE LOLLY HOLDERS,1626.9,1338
21154,RED RETROSPOT OVEN GLOVE,1625.5,1422
22372,AIRLINE BAG VINTAGE WORLD CHAMPION,1623.05,307
84797B,BLUE SAVANNAH PICNIC HAMPER FOR 4,1620.6,308
20718,RED RETROSPOT SHOPPER BAG,1619.5,1402
21829,DINOSAUR KEYRINGS ASSORTED,1611.93,7753
21191,LARGE WHITE HONEYCOMB PAPER BELL,1607.06,850
21705,BAG 500g SWIRLY MARBLES,1605.45,1037
21788,KIDS RAIN MAC BLUE,1603.4,1988
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,1602.78,1326
22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,1602.25,1885
79341,WILLOW BRANCH LIGHTS.,1601.65,255
21593,SWALLOW CIGAR BOX MATCHES,1599.31,1367
21652,GLASS ETCHED T-LIGHT HOLDER MEDIUM,1598.55,853
22454,MEASURING TAPE BABUSHKA RED,1598.05,571
21917,SET 12 KIDS  WHITE CHALK STICKS,1596.24,3852
21638,ASSORTED TUTTI FRUTTI NOTEBOOK,1596,760
22525,CHILDRENS GARDEN GLOVES PINK,1594.85,1285
21519,GIN & TONIC DIET GREETING CARD,1593.12,3908
85014C,BLUE/BROWN DOTS RUFFLED UMBRELLA,1591.85,347
85060,WOOD FAN WITH FLOWER DESIGN,1590.93,1353
22154,ANGEL DECORATION 3 BUTTONS,1589.76,3888
35160,BUDDHA INCENSE HOLDER ASSORTED,1587.24,2176
21215,IVORY PAPER CUP CAKE CASES,1587.1,3226
21696,SMALL SILVER TRELLIS CANDLEPOT,1587.1,538
22071,SMALL WHITE RETROSPOT MUG IN BOX,1586.58,430
21645,ASSORTED TUTTI FRUTTI ROUND BOX,1585.65,961
72799E,IVORY PILLAR CANDLE SILVER FLOCK,1585.5,762
20990,SPRING FLOWER CHOPSTICKS SET/5,1579.2,856
22500,SET OF 2 TINS JARDIN DE PROVENCE,1577.1,322
ADJUST,Adjustment by john on 26/01/2010 16,1576.31,0
84813,SET OF 4 DIAMOND NAPKIN RINGS,1575.5,234
21204,DAISIES  HONEYCOMB GARLAND,1575.3,1010
21187,WHITE BELL HONEYCOMB PAPER GARLAND,1573.35,1019
21498,RED RETROSPOT WRAP,1572.5,3925
22744,MAKE YOUR OWN MONSOON CARD KIT,1572.3,546
22021,BLUE FELT EASTER EGG BASKET,1571.85,981
21533,RETROSPOT LARGE MILK JUG,1570.45,329
22152,PLACE SETTING WHITE STAR,1568.82,3881
22176,BLUE OWL SOFT TOY,1568.3,546
21224,SET/4 SKULL BADGES,1566.2,1256
20770,ABSTRACT CIRCLE JOURNAL,1562.1,788
21357,TOAST ITS - DINOSAUR,1559.17,1253
21123,SET/10 IVORY SPOTTY PARTY CANDLES,1558.38,1254
22754,SMALL RED BABUSHKA NOTEBOOK,1552.32,1896
21693,SMALL HAMMERED SILVER CANDLEPOT,1552.25,527
84356,POMPOM CURTAIN,1550.1,318
22142,CHRISTMAS CRAFT WHITE FAIRY,1549.1,1130
22461,SAVOY ART DECO CLOCK,1549.05,127
21659,GLASS CAKE STAND,1546.85,107
21126,SET OF 6 GIRLS CELEBRATION CANDLES,1546.24,1712
21761,WOOD AND GLASS MEDICINE CABINET,1545.2,56
85199L,LARGE HANGING IVORY & RED WOOD BIRD,1542.61,2453
21808,"CHRISTMAS GARLAND STARS,TREES",1540,670
21283,NATURAL BARK CANDLE SMALL,1539,504
21680,WOODLAND  STICKERS,1536.72,1896
22155,STAR DECORATION RUSTIC,1535.94,3657
21188,3D HEARTS  HONEYCOMB PAPER GARLAND,1535.45,527
21846,PINK DIAMANTE PEN IN GIFT BOX,1535.15,885
85222,ASSORTED COLOUR SILK COSMETIC PURSE,1534.75,1393
21789,KIDS RAIN MAC PINK,1533.15,1911
84507B,STRIPES DESIGN MONKEY DOLL,1532.75,1281
21786,RAIN HAT WITH RED SPOTS,1530.48,4244
22405,MONEY BOX POCKET MONEY DESIGN,1525.36,1244
85132B,CHARLIE AND LOLA TABLE TINS,1525,380
21545,CERAMIC BIRDHOUSE BUTTERFLY SMALL,1524.1,677
21895,POTTING SHED SOW 'N' GROW SET,1523.25,525
21823,PAINTED METAL HEART WITH HOLLY BELL,1522.15,1063
21741,COSY SLIPPER SHOES LARGE GREEN,1521.1,522
21328,BALLOONS  WRITING SET,1518.3,926
82615,PINK MARSHMALLOW SCARF KNITTING KIT,1518.2,564
21548,CERAMIC BIRDHOUSE FINCH BLUE ROOF,1517.9,635
22807,SET OF 6 T-LIGHTS TOADSTOOLS,1516.95,537
22313,OFFICE MUG WARMER PINK,1515.9,434
15059A,ENGLISH ROSE EDWARDIAN PARASOL,1515,505
21610,SET 12 PEAR BOTANICAL T-LIGHTS,1514,536
22231,JIGSAW TREE WITH BIRDHOUSE,1513.65,1077
22023,EMPIRE BIRTHDAY CARD,1513.62,3801
85221,ASSORTED COLOUR SILK COIN PURSE,1511.67,3420
21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",1507.2,224
72799F,IVORY PILLAR CANDLE GOLD FLOCK,1505.5,946
22844,VINTAGE CREAM DOG FOOD CONTAINER,1504.5,183
20684,STRAWBERRY DREAM CHILDS UMBRELLA,1497.5,472
22566,FELTCRAFT HAIRBAND PINK AND PURPLE,1497.17,1877
22537,MAGIC DRAWING SLATE DINOSAUR,1496.7,3783
22270,HAPPY EASTER HANGING DECORATION,1495.8,408
21099,SET/6 STRAWBERRY PAPER CUPS,1492.3,13262
21348,PINK SPOTS CHOCOLATE NESTING BOXES,1490.15,649
21760,FRENCH STYLE WALL DRESSER,1490,13
21092,SET/6 STRAWBERRY PAPER PLATES,1484.54,12782
22315,200 RED + WHITE BENDY STRAWS,1483.59,1227
21445,12 PINK ROSE PEG PLACE SETTINGS,1481.08,1256
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT,1480.85,515
21841,BABY MOUSE RED GINGHAM DRESS,1479.25,355
84944,SET OF 6 KASHMIR FOLKART BAUBLES,1479,348
21845,DAIRY MAID STRIPE MUG,1473.45,519
21146,ANTIQUE GLASS RIDGED HANGING BALL,1473.15,785
85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,1472.62,370
21384,IVORY HANGING DECORATION  BUTTERFLY,1471.91,1739
22540,MINI JIGSAW CIRCUS PARADE,1470.84,3730
72008,FROSTED BOX 9 WHITE T-LIGHT CANDLES,1470.42,3699
21647,ASSORTED TUTTI FRUTTI LARGE PURSE,1470,700
47480,HANGING PHOTO CLIP ROPE LADDER,1468.2,948
21276,TWO EMBOSSED HEART MINI DRAWERS,1468,660
21547,CERAMIC BIRDHOUSE CRESTED TIT SMALL,1467.75,618
21550,CERAMIC BIRDHOUSE CRESTED TIT LARGE,1467.5,290
21541,DINOSAURS WATER TRANSFER TATTOOS,1466.5,1778
22281,EASTER TREE YELLOW BIRDS,1466.35,301
84795A,PASTEL STRIPE HAMMOCK,1466.25,195
22198,"POPCORN HOLDER , LARGE",1465.1,918
22514,CHILDS GARDEN SPADE BLUE,1460.58,771
22704,WRAP RED APPLES,1459,3550
21556,CERAMIC STRAWBERRY MONEY BOX,1457.4,580
22449,SILK PURSE RUSSIAN DOLL PINK,1456.15,449
17084R,ASSORTED INCENSE PACK,1453.65,8105
21192,WHITE BELL HONEYCOMB PAPER,1453.4,916
22907,PACK OF 20 NAPKINS PANTRY DESIGN,1450.32,1896
90167,BEADED LOVE HEART JEWELLERY SET,1450.3,1798
84619,BLUE GINGHAM ROSE QUILT,1444.15,69
21710,FOLDING UMBRELLA  PINK/WHITE  SPOT,1438.65,567
22428,ENAMEL FIRE BUCKET CREAM,1437.8,208
21804,WHITE CHRISTMAS GARLAND STARS TREES,1436.25,383
22129,PARTY CONES CANDY TREE DECORATION,1436.18,1808
22944,CHRISTMAS METAL POSTCARD WITH BELLS,1433.06,1234
22515,CHILDS GARDEN SPADE PINK,1430.28,758
21742,LARGE ROUND WICKER PLATTER,1428,240
22473,TV DINNER TRAY VINTAGE PAISLEY,1425.2,312
21542,WOODLAND WATER TRANSFER TATTOOS,1423.85,1725
22184,CAKE STAND VICTORIAN FILIGREE LARGE,1423.4,244
22688,DOORMAT PEACE ON EARTH BLUE,1423.22,190
22576,SWALLOW WOODEN CHRISTMAS DECORATION,1421.74,1702
22524,CHILDRENS GARDEN GLOVES BLUE,1420.66,1142
22180,RETROSPOT LAMP,1415.4,144
21866,UNION JACK FLAG LUGGAGE TAG,1414.19,1135
21869,POTTING SHED COFFEE MUG,1413.35,1231
72800E,4 IVORY DINNER CANDLES SILVER FLOCK,1411.11,869
22478,BIRDHOUSE GARDEN MARKER,1408.75,1127
21161,KEEP OUT BOYS DOOR HANGER,1406.91,2091
21124,SET/10 BLUE POLKADOT PARTY CANDLES,1406.53,1169
21462,"NURSERY A,B,C PAINTED LETTERS",1404.7,210
21495,SKULLS WRAP,1403,3350
21657,MILK BOTTLE WITH GLASS STOPPER,1402.65,207
22293,"SPRING DEC , HANGING CHICK  GREEN",1399.05,1089
48195,DOOR MAT GREEN PAISLEY,1397.09,251
22842,BISCUIT TIN VINTAGE RED,1396.5,214
22141,CHRISTMAS CRAFT TREE TOP ANGEL,1393.8,693
22333,RETRO SPOT PARTY BAG + STICKER SET,1393.8,932
22696,WICKER WREATH LARGE,1388.85,727
84510A,SET OF 4 ENGLISH ROSE COASTERS,1387.45,1113
22081,RIBBON REEL FLORA + FAUNA,1387.3,842
21476,STEEL SWEETHEART ROUND TABLE CREAM,1385.6,95
22949,36 DOILIES DOLLY GIRL,1385.55,1035
84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE,1381.95,451
21206,STRAWBERRY HONEYCOMB  GARLAND,1381.35,843
22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,1380.6,468
22376,AIRLINE BAG VINTAGE JET SET WHITE,1380.5,269
21125,SET 6 FOOTBALL CELEBRATION CANDLES,1380.27,1479
22336,DOVE DECORATION PAINTED ZINC,1380.2,2212
84795D,SEASIDE STRIPE HAMMOCK,1380.1,178
47585A,PINK FAIRY CAKE CUSHION COVER,1380,800
21637,ASSORTED SANSKRIT MINI NOTEBOOK,1379.03,1147
21818,GLITTER CHRISTMAS HEART,1377.83,1643
21282,NATURAL BARK CANDLE LARGE,1373.5,338
21588,RETROSPOT GIANT TUBE MATCHES,1373.1,602
85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,1372.75,833
16033,MINI HIGHLIGHTER PENS,1371.72,13681
85035A,GARDENIA 3 WICK MORRIS BOXED CANDLE,1369.19,335
22784,LANTERN CREAM GAZEBO,1366.2,290
20985,HEART CALCULATOR,1364.4,1109
85198,ASSORTED FARMYARD ANIMALS IN BUCKET,1363.38,3750
21495,SKULLS AND CROSSBONES WRAP,1360.3,3315
84965B,BLUE KASHMIRI COFFEE TABLE,1359.95,27
22758,LARGE PURPLE BABUSHKA NOTEBOOK,1358.87,1171
84472,PINK AND LILAC QUILTED THROW,1358.5,31
44230,SQUARE MIRROR CURTAIN,1356.27,197
22449,SILK PURSE BABUSHKA PINK,1353.4,404
16161U,"WRAP,SUKI AND FRIENDS",1352.5,3325
22905,CALENDAR IN SEASON DESIGN,1351.55,469
21642,ASSORTED TUTTI FRUTTI PEN,1350.05,1625
90057,DIAMANTE RING ASSORTED IN BOX.,1349.52,792
22071,SMALL RETRO SPOT MUG IN BOX  WHITE,1345.83,361
21288,STRIPEY CHOCOLATE NESTING BOXES,1343.65,603
21897,POTTING SHED CANDLE CITRONELLA,1340.4,456
21810,CHRISTMAS HANGING STAR WITH BELL,1340.28,1116
22521,CHILDS GARDEN TROWEL PINK,1339.72,1600
35001G,HAND OPEN SHAPE GOLD,1338.43,477
17091J,VANILLA INCENSE IN TIN,1336.98,1986
84012,MAGIC SHEEP WOOL GROWING FROM PAPER,1331.85,571
85176,SEWING SUSAN 21 NEEDLE SET,1329.43,1777
21532,DAIRY MAID SUGAR JAM BOWL,1329,1358
22410,MONEY BOX HOUSEKEEPING DESIGN,1328.6,1072
21561,DINOSAUR LUNCHBOX WITH CUTLERY,1327.8,544
85170A,SET/6 IVORY BIRD T-LIGHT CANDLES,1326.8,767
85034A,3 GARDENIA MORRIS BOXED CANDLES,1326.07,335
22597,CHRISTMAS MUSICAL ZINC HEART,1325.04,1680
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,1324.5,845
20716,PARTY FOOD SHOPPER BAG,1323.55,1071
85199S,SMALL HANGING IVORY/RED WOOD BIRD,1323.54,3213
22496,SET OF 2 ROUND TINS DUTCH CHEESE,1322.3,458
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,1321.44,1056
37441,ASSORTED WHITE EMBOSSED CHINA MUGS,1317.9,679
85167B,BLACK GRAND BAROQUE PHOTO FRAME,1315.65,669
22208,WOOD STAMP SET THANK YOU,1314.9,810
22664,TOY TIDY DOLLY GIRL DESIGN,1313,670
15058A,BLUE WHITE SPOTS GARDEN PARASOL,1311.05,259
21041,RED RETROSPOT OVEN GLOVE DOUBLE,1309,460
22650,CERAMIC PIRATE CHEST MONEY BANK,1308.05,917
22439,6 ROCKET BALLOONS,1307.8,2012
22349,DOG BOWL CHASING BALL DESIGN,1306.44,352
22436,12 COLOURED PARTY BALLOONS,1306.15,2111
21000,ROSE DU SUD COSMETICS BAG,1306,572
20993,JAZZ HEARTS MEMO PAD,1305.49,10945
84510B,SET OF 4 FAIRY CAKES COASTERS,1303.3,1108
22400,MAGNETS PACK OF 4 HOME SWEET HOME,1302.94,1046
84854,GIRLY PINK TOOL SET,1302.7,280
21398,RED  SPOTTY COFFEE  MUG,1293.6,690
22513,DOORSTOP FOOTBALL DESIGN,1293.48,428
47503K,ASSORTED FLORAL SECATEURS,1292.9,3140
22503,CABIN BAG VINTAGE PAISLEY,1292.7,46
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,1291.5,734
22028,PENNY FARTHING BIRTHDAY CARD,1290.96,3216
22951,60 CAKE CASES DOLLY GIRL DESIGN,1287.05,2567
21905,MORE BUTTER METAL SIGN,1285.14,842
22037,ROBOT BIRTHDAY CARD,1283.28,3076
21837,CROSS STITCH ALPHABET CUSHION COVER,1279.25,215
21640,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,1277.55,1503
22899,CHILDREN'S APRON DOLLY GIRL,1275.45,637
21910,WAY OUT METAL SIGN,1273.95,999
21993,FLORAL FOLK STATIONERY SET,1273.55,701
22153,ANGEL DECORATION STARS ON DRESS,1273.02,3031
84508A,CAMOUFLAGE DESIGN TEDDY,1272,592
20738,GREEN MINI TAPE MEASURE,1270.55,1585
21464,DISCO BALL ROTATOR BATTERY OPERATED,1269.75,299
21626,VINTAGE UNION JACK PENNANT,1269.45,651
22732,3D STICKERS VINTAGE CHRISTMAS,1268,1060
21422,PORCELAIN ROSE SMALL,1266.55,1539
22251,BIRDHOUSE DECORATION MAGIC GARDEN,1266.25,1089
21408,SPOTTY PINK DUCK DOORSTOP,1264.83,359
21011,GLITTER SNOW PEAR TREE DECORATION,1261.38,1782
20992,JAZZ HEARTS PURSE NOTEBOOK,1259.45,1733
21842,PINK HEART CANDY BUTTON CALCULATOR,1257.15,541
22117,METAL SIGN HER DINNER IS SERVED,1255,436
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1253.2,270
84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,1253.15,1039
22133,PINK LOVE HEART SHAPE CUP,1252.86,1518
21584,RETROSPOT SMALL TUBE MATCHES,1252.15,771
21627,ELEPHANT CARNIVAL POUFFE,1250.9,90
22059,CERAMIC STRAWBERRY DESIGN MUG,1248.84,900
21824,PAINTED METAL STAR WITH HOLLY BELLS,1248.1,874
22342,HOME GARLAND PAINTED ZINC,1244.7,766
37340,MULTICOLOUR SPRING FLOWER MUG,1244.02,6058
21082,SET/20 FRUIT SALAD PAPER NAPKINS,1243.76,3992
20764,ABSTRACT CIRCLES SKETCHBOOK,1242,472
21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",1241.35,433
22827,GIANT SEVENTEEN DRAWER SIDEBOARD,1240,8
22520,CHILDS GARDEN TROWEL BLUE,1239.99,1479
21809,CHRISTMAS HANGING TREE WITH BELL,1236.53,1033
21280,VINTAGE KITCHEN PRINT VEGETABLES,1236.45,2003
20979,36 PENCILS TUBE RED RETROSPOT,1233.18,1006
21661,VINTAGE GLASS TEA CADDY,1231.95,211
22674,FRENCH TOILET SIGN BLUE METAL,1229.77,1013
84763,ZINC FINISH 15CM PLANTER POTS,1228.52,1012
22425,ENAMEL COLANDER CREAM,1227.6,248
22157,ANGEL DECORATION WITH LACE PADDED,1224,1440
22477,WATERING CAN GARDEN MARKER,1220.6,978
22448,PIN CUSHION RUSSIAN DOLL RED,1220.55,393
21504,SKULLS GREETING CARD,1219.8,3050
22052,VINTAGE CARAVAN GIFT WRAP,1219,2950
22325,MOBILE VINTAGE HEARTS,1218.75,253
20760,GARDEN PATH POCKET BOOK,1215.8,5420
22450,SILK PURSE RUSSIAN DOLL BLUE,1215.5,370
22966,GINGERBREAD MAN COOKIE CUTTER,1215.28,1016
22137,BATHROOM SET LOVE HEART DESIGN,1210.95,513
22201,FRYING PAN BLUE POLKADOT,1207.25,301
20825,GOLD WINE GLASS,1206.54,354
21529,RETRO SPOT CERAMIC TOASTRACK,1206,360
21785,RAIN PONCHO,1205.75,1571
22290,STANDING METAL RABBIT WITH EGG,1203.9,674
21275,ZINC TOP  2 DOOR WOODEN SHELF,1203.85,223
21549,CERAMIC BIRDHOUSE RED ROOF SMALL,1202.2,532
22452,MEASURING TAPE BABUSHKA PINK,1199.05,431
21352,EUCALYPTUS & PINECONE  WREATH,1195.05,443
21819,GLITTER CHRISTMAS STAR,1194.25,1405
22863,SOAP DISH BROCANTE,1193.2,424
21813,GARLAND WITH STARS AND BELLS,1192.95,241
ADJUST,Adjustment by john on 26/01/2010 17,1192.86,6
21616,4 PEAR BOTANICAL DINNER CANDLES,1192.5,338
22816,CARD MOTORBIKE SANTA,1190.28,2930
21332,MOROCCAN BEATEN METAL MIRROR,1189.85,227
85172,HYACINTH BULB T-LIGHT CANDLES,1187.88,2986
22733,3D STICKERS TRADITIONAL CHRISTMAS,1187,980
21096,SET/6 FRUIT SALAD  PAPER PLATES,1186.3,7630
21617,4 LILY  BOTANICAL DINNER CANDLES,1185.75,325
22375,AIRLINE BAG VINTAGE JET SET BROWN,1185.3,234
22091,EMPIRE TISSUE BOX,1184.39,1063
21613,S/12 VANILLA  BOTANICAL T-LIGHTS,1181.65,403
85162A,SILVER RETRODISC LAMPSHADE,1181.44,601
21438,TUB 24 HANGING EASTER EGGS SPOTTY,1180.95,361
22671,FRENCH LAUNDRY SIGN BLUE METAL,1180.35,727
22797,CHEST OF DRAWERS GINGHAM HEART,1179.45,71
21708,FOLDING UMBRELLA  CREAM/MULTI  SPOT,1178.55,369
22675,FRENCH KITCHEN SIGN BLUE METAL,1178.52,972
84856L,LARGE TAHITI BEACH BAG,1177.45,211
20933,YELLOW POT PLANT CANDLE,1174.1,470
35971,ROSE FOLKART HEART DECORATIONS,1173.81,1449
20682,RED RETROSPOT CHILDRENS UMBRELLA,1171,362
47503E,ASS FLORAL PRINT SCISSORS,1169.4,6828
17091A,LAVENDER INCENSE IN TIN,1169.24,1912
22419,LIPSTICK PEN RED,1166.46,2952
22024,RAINY LADIES BIRTHDAY CARD,1165.74,2911
22613,PACK OF 20 SPACEBOY NAPKINS,1163.15,1487
22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,1162.5,310
21807,WHITE CHRISTMAS STAR DECORATION,1161.9,2787
22516,CHILDS GARDEN RAKE BLUE,1161.48,625
22732,3D VINTAGE CHRISTMAS STICKERS,1160.21,961
21787,RAIN PONCHO RETROSPOT,1159.9,1534
16237,SLEEPING CAT ERASERS,1158.75,5625
22223,CAKE PLATE LOVEBIRD PINK,1157.4,244
22190,LOCAL CAFE MUG,1157.1,601
21359,RELAX LARGE WOOD LETTERS,1154.25,75
22246,"GARLAND, MAGIC GARDEN 1.8M",1148.25,611
21865,PINK UNION JACK  PASSPORT COVER,1146.6,546
84830,LARGE ENGLISH ARBORETUM,1144.3,110
85049H,URBAN BLACK RIBBONS,1144.08,1188
35649,VINTAGE BEAD COSMETIC BAG,1144,1760
84748,FOLK FELT HANGING MULTICOL GARLAND,1141.8,956
37343,SPOTS DESIGN MUG W PINK INSIDE,1139.34,790
90062,CARNIVAL BRACELET,1137.25,90
22731,3D STICKERS CHRISTMAS STAMPS,1137,940
21537,RETRO SPOTS PUDDING BOWL,1136.75,275
22533,MAGIC DRAWING SLATE BAKE A CAKE,1135.38,2765
22539,MINI JIGSAW DOLLY GIRL,1131.66,2763
22739,"RIBBON REEL, XMAS SOCK/BAUBLE",1131,700
22735,RIBBON REEL SOCKS AND MITTENS,1127.7,698
20729,RED SPOTTY CANDY BAG,1127.4,4604
85164B,BLACK BAROQUE CUCKOO CLOCK,1122,112
21581,SKULLS  DESIGN  COTTON TOTE BAG,1121.9,866
21157,RED SPOTTY WASHBAG,1120.68,536
85227,SET OF 6 3D KIT CARDS FOR KIDS,1118.6,1316
21990,MODERN FLORAL STATIONERY SET,1116.15,585
22818,CARD CHRISTMAS VILLAGE,1116,2688
21130,COLOURFUL STANDING GNOME,1115.7,706
22286,"DECORATION , WOBBLY RABBIT , METAL ",1114.35,795
22712,CARD DOLLY GIRL,1111.8,2822
21649,ASSORTED TUTTI FRUTTI PHOTO FRAME,1108.95,409
22956,36 FOIL HEART CAKE CASES,1108.2,552
85114A,BLACK ENCHANTED FOREST PLACEMAT,1104,720
22253,6 CROCHET STRAWBERRIES,1102.64,942
21009,ETCHED GLASS STAR TREE DECORATION,1102.5,882
21794,CLASSIC FRENCH STYLE BASKET NATURAL,1101.65,167
48197,DOORMAT BIRD ON THE WIRE,1100.15,223
51014C,"FEATHER PEN,COAL BLACK",1099.57,1345
85232A,SET/3 POLKA DOT STACKING TINS,1096.95,225
20785,FUSCHIA RETRO BAR STOOL,1094.55,29
21281,VINTAGE KITCHEN PRINT SEAFOOD,1094.25,2079
37482B,CUBIC MUG BLUE POLKA DOT,1093.95,1249
21983,PACK OF 12 BLUE PAISLEY TISSUES,1093.11,3877
22517,CHILDS GARDEN RAKE PINK,1091.28,593
22801,ANTIQUE GLASS PEDESTAL BOWL,1083.75,289
21806,WHITE CHRISTMAS HEART DECORATION,1083.36,2600
21397,BLUE  SPOTTY EGG CUP,1082.78,910
22733,3D TRADITIONAL CHRISTMAS STICKERS,1080.73,881
84509B,SET OF 4 FAIRY CAKE PLACEMATS,1080.3,306
21312,LARGE CHUNKY GLASS ROMAN BOWL,1079.15,281
20734,SILVER MINI TAPE MEASURE,1079,1378
21287,SCENTED VELVET LOUNGE CANDLE,1078.44,2316
21396,RED SPOTTY EGG CUP,1075.28,904
21051,RIBBONS PURSE,1075.2,553
84596F,SMALL MARSHMALLOWS PINK BOWL,1073.96,892
21744,SNOWFLAKE PORTABLE TABLE LIGHT,1073.8,364
22070,SMALL RETRO SPOT MUG IN BOX  RED,1073,280
22911,PAPER CHAIN KIT LONDON,1072.6,388
22753,SMALL YELLOW BABUSHKA NOTEBOOK,1072.11,1287
84396,6 HOOK JEWELLERY STAND BLACK DRESS,1071.6,516
22523,CHILDS GARDEN FORK PINK,1071.12,1284
22166,"WALL MIRROR , RECT DIAMANTE, PINK/",1069.11,173
21356,TOAST ITS - FAIRY FLOWER,1069.05,861
20658,RED SPOTTY LUGGAGE TAG,1067.94,858
21190,PINK HEARTS PAPER GARLAND,1066.85,673
84562A,PINK/WHITE RIBBED MELAMINE JUG,1065.3,142
21779,MA CAMPAGNE MINI WOODEN CHEST,1062.75,291
22740,POLKA DOT PEN,1060.8,1248
21618,4 WILDFLOWER BOTANICAL CANDLES,1059,296
22522,CHILDS GARDEN FORK BLUE,1058.94,1266
21839,MUMMY MOUSE RED GINGHAM RIBBON,1058.1,198
22849,BREAD BIN DINER STYLE MINT,1054.7,66
22939,APRON APPLE DELIGHT,1053.65,227
85224,ASSORTED COLOUR SILK GLASSES CASE,1053.24,1988
84965A,PINK KASHMIRI COFFEE TABLE,1050,20
85055,FRENCH ENAMEL UTENSIL HOLDER,1049.1,290
21738,COSY SLIPPER SHOES SMALL  RED,1048.7,362
20768,GREEN FERN JOURNAL,1047.75,575
15058C,ICE CREAM DESIGN GARDEN PARASOL,1045.2,216
21012,ANTIQUE ALL GLASS CANDLESTICK,1043.38,919
22094,RED POLKA DOT TISSUE BOX,1042.4,916
84581,DOG TOY WITH PINK CROCHET SKIRT,1041.93,279
21410,COUNTRY COTTAGE  DOORSTOP GREEN,1041,260
21677,HEARTS  STICKERS,1038.98,1226
85130A,BEADED PEARL HEART WHITE LARGE,1038.75,631
22356,CHARLOTTE BAG PINK POLKADOT,1037.75,1227
